symbol,price,rsi,vol_ratio,sma_20,atr,signal,timestamp
LTIM,4105.6,27.6,1.7,Below,153.3,SKIP,2026-03-24T17:58:35.637430
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-24T18:04:18.734445
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-24T18:04:18.734454
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-24T18:04:18.734456
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-24T18:04:18.734457
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-24T18:04:18.734459
AXISBANK,1192.7,35.7,1.1,Below,37.7,SKIP,2026-03-24T18:04:18.734460
BAJFINANCE,849.0,36.3,1.9,Below,32.6,SKIP,2026-03-24T18:04:18.734462
BAJAJFINSV,1704.4,30.1,1.2,Below,48.6,SKIP,2026-03-24T18:04:18.734463
HDFCLIFE,603.0,26.7,1.1,Below,17.6,SKIP,2026-03-24T18:04:18.734464
SBILIFE,1836.0,32.3,1.3,Below,49.6,SKIP,2026-03-24T18:04:18.734466
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-24T18:04:18.734467
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-24T18:04:18.734468
WIPRO,188.74,30.8,0.7,Below,5.1,SKIP,2026-03-24T18:04:18.734469
HCLTECH,1373.3,45.2,1.0,Above,37.7,SKIP,2026-03-24T18:04:18.734471
TECHM,1432.7,54.0,1.7,Above,41.4,SKIP,2026-03-24T18:04:18.734472
LTIM,4105.6,27.6,1.7,Below,153.3,SKIP,2026-03-24T18:04:18.734473
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-24T18:04:18.734474
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-24T18:04:18.734476
NESTLEIND,1183.2,33.5,0.8,Below,26.5,SKIP,2026-03-24T18:04:18.734477
BRITANNIA,5513.5,30.3,1.5,Below,139.2,SKIP,2026-03-24T18:04:18.734478
TATACONSUM,1053.1,38.3,1.1,Below,27.5,SKIP,2026-03-24T18:04:18.734479
MARUTI,12464.0,29.6,1.0,Below,434.3,SKIP,2026-03-24T18:04:18.734480
M&M,3031.3,39.9,1.0,Below,121.6,SKIP,2026-03-24T18:04:18.734482
BAJAJ-AUTO,8898.0,40.1,1.3,Below,297.3,SKIP,2026-03-24T18:04:18.734483
HEROMOTOCO,5253.0,44.4,0.9,Below,196.9,SKIP,2026-03-24T18:04:18.734484
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-24T18:04:18.734485
NTPC,375.55,51.0,0.6,Below,10.4,SKIP,2026-03-24T18:04:18.734487
POWERGRID,299.0,54.5,1.3,Below,9.2,SKIP,2026-03-24T18:04:18.734488
ONGC,268.05,51.1,0.7,Below,8.3,SKIP,2026-03-24T18:04:18.734489
COALINDIA,442.1,49.2,1.4,Below,15.6,SKIP,2026-03-24T18:04:18.734490
TATASTEEL,190.79,45.6,0.9,Below,7.0,SKIP,2026-03-24T18:04:18.734491
HINDALCO,854.65,36.8,0.5,Below,36.0,SKIP,2026-03-24T18:04:18.734493
JSWSTEEL,1133.7,42.1,0.7,Below,41.9,SKIP,2026-03-24T18:04:18.734494
SUNPHARMA,1753.3,48.5,0.7,Below,35.6,SKIP,2026-03-24T18:04:18.734495
DRREDDY,1259.6,44.7,1.7,Below,32.3,SKIP,2026-03-24T18:04:18.734496
CIPLA,1219.4,26.0,0.6,Below,26.2,SKIP,2026-03-24T18:04:18.734498
APOLLOHOSP,7413.0,47.1,1.4,Below,194.8,SKIP,2026-03-24T18:04:18.734499
ADANIENT,1817.9,26.9,5.8,Below,66.4,SKIP,2026-03-24T18:04:18.734500
ADANIPORTS,1344.2,39.3,1.1,Below,48.9,SKIP,2026-03-24T18:04:18.734501
