symbol,price,rsi,vol_ratio,sma_20,atr,signal,timestamp
JSWSTEEL,1133.7,42.1,0.7,Below,41.9,SKIP,2026-03-24T20:40:11.875539
SUNPHARMA,1753.3,48.5,0.7,Below,35.6,SKIP,2026-03-24T20:40:11.875540
DRREDDY,1259.6,44.7,1.7,Below,32.3,SKIP,2026-03-24T20:40:11.875540
CIPLA,1219.4,26.0,0.6,Below,26.2,SKIP,2026-03-24T20:40:11.875541
APOLLOHOSP,7413.0,47.1,1.4,Below,194.8,SKIP,2026-03-24T20:40:11.875542
ADANIENT,1817.9,26.9,5.8,Below,66.4,SKIP,2026-03-24T20:40:11.875543
ADANIPORTS,1344.2,39.3,1.1,Below,48.9,SKIP,2026-03-24T20:40:11.875544
TITAN,3899.5,36.1,1.5,Below,123.7,SKIP,2026-03-24T20:40:11.875544
ULTRACEMCO,10764.0,37.1,1.0,Below,389.2,SKIP,2026-03-24T20:40:11.875545
GRASIM,2549.4,36.2,2.0,Below,78.8,SKIP,2026-03-24T20:40:11.875546
ASIANPAINT,2217.3,41.5,1.3,Below,65.3,SKIP,2026-03-24T20:40:11.875547
DIVISLAB,6026.0,40.9,0.9,Below,151.5,SKIP,2026-03-24T20:40:11.875548
EICHERMOT,6871.0,41.0,1.2,Below,249.5,SKIP,2026-03-24T20:40:11.875548
INDUSINDBK,797.25,34.1,1.5,Below,31.2,SKIP,2026-03-24T20:40:11.875549
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-24T20:46:52.301852
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-24T20:46:52.301862
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-24T20:46:52.301866
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-24T20:46:52.301868
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-24T20:46:52.301870
AXISBANK,1192.7,35.7,1.1,Below,37.7,SKIP,2026-03-24T20:46:52.301871
BAJFINANCE,849.0,36.3,1.9,Below,32.6,SKIP,2026-03-24T20:46:52.301873
BAJAJFINSV,1704.4,30.1,1.2,Below,48.6,SKIP,2026-03-24T20:46:52.301875
HDFCLIFE,603.0,26.7,1.1,Below,17.6,SKIP,2026-03-24T20:46:52.301876
SBILIFE,1836.0,32.3,1.3,Below,49.6,SKIP,2026-03-24T20:46:52.301878
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-24T20:46:52.301880
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-24T20:46:52.301881
WIPRO,188.74,30.8,0.7,Below,5.1,SKIP,2026-03-24T20:46:52.301883
HCLTECH,1373.3,45.2,1.0,Above,37.7,SKIP,2026-03-24T20:46:52.301885
TECHM,1432.7,54.0,1.7,Above,41.4,SKIP,2026-03-24T20:46:52.301886
LTIM,4105.6,27.6,1.7,Below,153.3,SKIP,2026-03-24T20:46:52.301888
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-24T20:46:52.301889
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-24T20:46:52.301891
NESTLEIND,1183.2,33.5,0.8,Below,26.5,SKIP,2026-03-24T20:46:52.301892
BRITANNIA,5513.5,30.3,1.5,Below,139.2,SKIP,2026-03-24T20:46:52.301894
TATACONSUM,1053.1,38.3,1.1,Below,27.5,SKIP,2026-03-24T20:46:52.301896
MARUTI,12464.0,29.6,1.0,Below,434.3,SKIP,2026-03-24T20:46:52.301897
SHRIRAMFIN,903.6,36.0,1.5,Below,50.0,SKIP,2026-03-24T20:46:52.301899
M&M,3031.3,39.9,1.0,Below,121.6,SKIP,2026-03-24T20:46:52.301900
BAJAJ-AUTO,8898.0,40.1,1.3,Below,297.3,SKIP,2026-03-24T20:46:52.301902
HEROMOTOCO,5253.0,44.4,0.9,Below,196.9,SKIP,2026-03-24T20:46:52.301903
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-24T20:46:52.301905
NTPC,375.55,51.0,0.6,Below,10.4,SKIP,2026-03-24T20:46:52.301907
POWERGRID,299.0,54.5,1.3,Below,9.2,SKIP,2026-03-24T20:46:52.301908
ONGC,268.05,51.1,0.7,Below,8.3,SKIP,2026-03-24T20:46:52.301910
COALINDIA,442.1,49.2,1.4,Below,15.6,SKIP,2026-03-24T20:46:52.301911
TATASTEEL,190.79,45.6,0.9,Below,7.0,SKIP,2026-03-24T20:46:52.301913
HINDALCO,854.65,36.8,0.5,Below,36.0,SKIP,2026-03-24T20:46:52.301915
JSWSTEEL,1133.7,42.1,0.7,Below,41.9,SKIP,2026-03-24T20:46:52.301916
SUNPHARMA,1753.3,48.5,0.7,Below,35.6,SKIP,2026-03-24T20:46:52.301918
DRREDDY,1259.6,44.7,1.7,Below,32.3,SKIP,2026-03-24T20:46:52.301919
CIPLA,1219.4,26.0,0.6,Below,26.2,SKIP,2026-03-24T20:46:52.301921
APOLLOHOSP,7413.0,47.1,1.4,Below,194.8,SKIP,2026-03-24T20:46:52.301922
ADANIENT,1817.9,26.9,5.8,Below,66.4,SKIP,2026-03-24T20:46:52.301924
ADANIPORTS,1344.2,39.3,1.1,Below,48.9,SKIP,2026-03-24T20:46:52.301926
TITAN,3899.5,36.1,1.5,Below,123.7,SKIP,2026-03-24T20:46:52.301927
ULTRACEMCO,10764.0,37.1,1.0,Below,389.2,SKIP,2026-03-24T20:46:52.301929
GRASIM,2549.4,36.2,2.0,Below,78.8,SKIP,2026-03-24T20:46:52.301930
ASIANPAINT,2217.3,41.5,1.3,Below,65.3,SKIP,2026-03-24T20:46:52.301932
DIVISLAB,6026.0,40.9,0.9,Below,151.5,SKIP,2026-03-24T20:46:52.301934
EICHERMOT,6871.0,41.0,1.2,Below,249.5,SKIP,2026-03-24T20:46:52.301935
INDUSINDBK,797.25,34.1,1.5,Below,31.2,SKIP,2026-03-24T20:46:52.301937
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-25T00:04:22.118718
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-25T00:04:22.118728
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-25T00:04:22.118731
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-25T00:04:22.118733
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-25T00:04:22.118735
AXISBANK,1192.7,35.7,1.1,Below,37.7,SKIP,2026-03-25T00:04:22.118737
BAJFINANCE,849.0,36.3,1.9,Below,32.6,SKIP,2026-03-25T00:04:22.118738
BAJAJFINSV,1704.4,30.1,1.2,Below,48.6,SKIP,2026-03-25T00:04:22.118740
HDFCLIFE,603.0,26.7,1.1,Below,17.6,SKIP,2026-03-25T00:04:22.118741
SBILIFE,1836.0,32.3,1.3,Below,49.6,SKIP,2026-03-25T00:04:22.118743
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-25T00:04:22.118745
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-25T00:04:22.118746
WIPRO,188.74,30.8,0.7,Below,5.1,SKIP,2026-03-25T00:04:22.118748
HCLTECH,1373.3,45.2,1.0,Above,37.7,SKIP,2026-03-25T00:04:22.118750
TECHM,1432.7,54.0,1.7,Above,41.4,SKIP,2026-03-25T00:04:22.118751
LTIM,4105.6,27.6,1.7,Below,153.3,SKIP,2026-03-25T00:04:22.118753
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-25T00:04:22.118754
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-25T00:04:22.118756
NESTLEIND,1183.2,33.5,0.8,Below,26.5,SKIP,2026-03-25T00:04:22.118757
BRITANNIA,5513.5,30.3,1.5,Below,139.2,SKIP,2026-03-25T00:04:22.118759
TATACONSUM,1053.1,38.3,1.1,Below,27.5,SKIP,2026-03-25T00:04:22.118760
MARUTI,12464.0,29.6,1.0,Below,434.3,SKIP,2026-03-25T00:04:22.118762
SHRIRAMFIN,903.6,36.0,1.5,Below,50.0,SKIP,2026-03-25T00:04:22.118764
M&M,3031.3,39.9,1.0,Below,121.6,SKIP,2026-03-25T00:04:22.118765
BAJAJ-AUTO,8898.0,40.1,1.3,Below,297.3,SKIP,2026-03-25T00:04:22.118767
HEROMOTOCO,5253.0,44.4,0.9,Below,196.9,SKIP,2026-03-25T00:04:22.118768
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-25T00:04:22.118770
NTPC,375.55,51.0,0.6,Below,10.4,SKIP,2026-03-25T00:04:22.118771
POWERGRID,299.0,54.5,1.3,Below,9.2,SKIP,2026-03-25T00:04:22.118773
ONGC,268.05,51.1,0.7,Below,8.3,SKIP,2026-03-25T00:04:22.118774
COALINDIA,442.1,49.2,1.4,Below,15.6,SKIP,2026-03-25T00:04:22.118776
TATASTEEL,190.79,45.6,0.9,Below,7.0,SKIP,2026-03-25T00:04:22.118777
HINDALCO,854.65,36.8,0.5,Below,36.0,SKIP,2026-03-25T00:04:22.118779
JSWSTEEL,1133.7,42.1,0.7,Below,41.9,SKIP,2026-03-25T00:04:22.118781
SUNPHARMA,1753.3,48.5,0.7,Below,35.6,SKIP,2026-03-25T00:04:22.118782
DRREDDY,1259.6,44.7,1.7,Below,32.3,SKIP,2026-03-25T00:04:22.118784
CIPLA,1219.4,26.0,0.6,Below,26.2,SKIP,2026-03-25T00:04:22.118785
APOLLOHOSP,7413.0,47.1,1.4,Below,194.8,SKIP,2026-03-25T00:04:22.118787
ADANIENT,1817.9,26.9,5.8,Below,66.4,SKIP,2026-03-25T00:04:22.118788
ADANIPORTS,1344.2,39.3,1.1,Below,48.9,SKIP,2026-03-25T00:04:22.118790
TITAN,3899.5,36.1,1.5,Below,123.7,SKIP,2026-03-25T00:04:22.118791
ULTRACEMCO,10764.0,37.1,1.0,Below,389.2,SKIP,2026-03-25T00:04:22.118793
GRASIM,2549.4,36.2,2.0,Below,78.8,SKIP,2026-03-25T00:04:22.118795
ASIANPAINT,2217.3,41.5,1.3,Below,65.3,SKIP,2026-03-25T00:04:22.118796
DIVISLAB,6026.0,40.9,0.9,Below,151.5,SKIP,2026-03-25T00:04:22.118798
EICHERMOT,6871.0,41.0,1.2,Below,249.5,SKIP,2026-03-25T00:04:22.118799
INDUSINDBK,797.25,34.1,1.5,Below,31.2,SKIP,2026-03-25T00:04:22.118801
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-25T01:06:49.936830
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-25T01:06:49.936843
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-25T01:06:49.936847
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-25T01:06:49.936849
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-25T01:06:49.936852
AXISBANK,1192.7,35.7,1.1,Below,37.7,SKIP,2026-03-25T01:06:49.936854
BAJFINANCE,849.0,36.3,1.9,Below,32.6,SKIP,2026-03-25T01:06:49.936856
BAJAJFINSV,1704.4,30.1,1.2,Below,48.6,SKIP,2026-03-25T01:06:49.936858
HDFCLIFE,603.0,26.7,1.1,Below,17.6,SKIP,2026-03-25T01:06:49.936860
SBILIFE,1836.0,32.3,1.3,Below,49.6,SKIP,2026-03-25T01:06:49.936862
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-25T01:06:49.936864
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-25T01:06:49.936866
WIPRO,188.74,30.8,0.7,Below,5.1,SKIP,2026-03-25T01:06:49.936867
HCLTECH,1373.3,45.2,1.0,Above,37.7,SKIP,2026-03-25T01:06:49.936869
TECHM,1432.7,54.0,1.7,Above,41.4,SKIP,2026-03-25T01:06:49.936871
LTIM,4105.6,27.6,1.7,Below,153.3,SKIP,2026-03-25T01:06:49.936873
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-25T01:06:49.936875
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-25T01:06:49.936877
NESTLEIND,1183.2,33.5,0.8,Below,26.5,SKIP,2026-03-25T01:06:49.936879
BRITANNIA,5513.5,30.3,1.5,Below,139.2,SKIP,2026-03-25T01:06:49.936881
TATACONSUM,1053.1,38.3,1.1,Below,27.5,SKIP,2026-03-25T01:06:49.936883
MARUTI,12464.0,29.6,1.0,Below,434.3,SKIP,2026-03-25T01:06:49.936885
SHRIRAMFIN,903.6,36.0,1.5,Below,50.0,SKIP,2026-03-25T01:06:49.936887
M&M,3031.3,39.9,1.0,Below,121.6,SKIP,2026-03-25T01:06:49.936889
BAJAJ-AUTO,8898.0,40.1,1.3,Below,297.3,SKIP,2026-03-25T01:06:49.936890
HEROMOTOCO,5253.0,44.4,0.9,Below,196.9,SKIP,2026-03-25T01:06:49.936892
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-25T01:06:49.936894
NTPC,375.55,51.0,0.6,Below,10.4,SKIP,2026-03-25T01:06:49.936896
POWERGRID,299.0,54.5,1.3,Below,9.2,SKIP,2026-03-25T01:06:49.936898
ONGC,268.05,51.1,0.7,Below,8.3,SKIP,2026-03-25T01:06:49.936900
COALINDIA,442.1,49.2,1.4,Below,15.6,SKIP,2026-03-25T01:06:49.936902
TATASTEEL,190.79,45.6,0.9,Below,7.0,SKIP,2026-03-25T01:06:49.936904
HINDALCO,854.65,36.8,0.5,Below,36.0,SKIP,2026-03-25T01:06:49.936906
JSWSTEEL,1133.7,42.1,0.7,Below,41.9,SKIP,2026-03-25T01:06:49.936908
SUNPHARMA,1753.3,48.5,0.7,Below,35.6,SKIP,2026-03-25T01:06:49.936910
DRREDDY,1259.6,44.7,1.7,Below,32.3,SKIP,2026-03-25T01:06:49.936912
CIPLA,1219.4,26.0,0.6,Below,26.2,SKIP,2026-03-25T01:06:49.936913
APOLLOHOSP,7413.0,47.1,1.4,Below,194.8,SKIP,2026-03-25T01:06:49.936915
ADANIENT,1817.9,26.9,5.8,Below,66.4,SKIP,2026-03-25T01:06:49.936917
ADANIPORTS,1344.2,39.3,1.1,Below,48.9,SKIP,2026-03-25T01:06:49.936919
TITAN,3899.5,36.1,1.5,Below,123.7,SKIP,2026-03-25T01:06:49.936921
ULTRACEMCO,10764.0,37.1,1.0,Below,389.2,SKIP,2026-03-25T01:06:49.936922
GRASIM,2549.4,36.2,2.0,Below,78.8,SKIP,2026-03-25T01:06:49.936924
ASIANPAINT,2217.3,41.5,1.3,Below,65.3,SKIP,2026-03-25T01:06:49.936926
DIVISLAB,6026.0,40.9,0.9,Below,151.5,SKIP,2026-03-25T01:06:49.936928
EICHERMOT,6871.0,41.0,1.2,Below,249.5,SKIP,2026-03-25T01:06:49.936930
INDUSINDBK,797.25,34.1,1.5,Below,31.2,SKIP,2026-03-25T01:06:49.936932
RELIANCE,1426.6,54.4,0.2,Above,31.1,SKIP,2026-03-25T11:04:27.365158
HDFCBANK,787.1,35.2,0.5,Below,26.8,SKIP,2026-03-25T11:04:27.365169
ICICIBANK,1267.0,40.7,0.3,Below,32.9,SKIP,2026-03-25T11:04:27.365172
SBIN,1055.8,40.1,0.3,Below,34.5,SKIP,2026-03-25T11:04:27.365174
KOTAKBANK,376.75,41.9,0.3,Below,10.1,SKIP,2026-03-25T11:04:27.365176
AXISBANK,1224.8,42.2,0.3,Below,38.7,SKIP,2026-03-25T11:04:27.365178
BAJFINANCE,878.55,43.5,0.6,Below,33.2,SKIP,2026-03-25T11:04:27.365180
BAJAJFINSV,1756.8,38.8,0.3,Below,49.7,SKIP,2026-03-25T11:04:27.365181
HDFCLIFE,615.6,33.1,0.2,Below,16.9,SKIP,2026-03-25T11:04:27.365183
SBILIFE,1860.6,37.0,0.3,Below,48.0,SKIP,2026-03-25T11:04:27.365185
TCS,2418.0,33.2,0.5,Below,58.7,SKIP,2026-03-25T11:04:27.365187
INFY,1285.4,43.3,0.3,Above,35.7,SKIP,2026-03-25T11:04:27.365188
WIPRO,190.14,33.5,0.3,Below,5.0,SKIP,2026-03-25T11:04:27.365190
HCLTECH,1392.0,49.0,0.5,Above,37.6,SKIP,2026-03-25T11:04:27.365192
TECHM,1420.9,51.8,0.9,Above,40.8,SKIP,2026-03-25T11:04:27.365193
LTIM,4211.5,34.2,1.0,Below,155.1,SKIP,2026-03-25T11:04:27.365195
HINDUNILVR,2134.5,40.1,0.3,Below,49.9,SKIP,2026-03-25T11:04:27.365197
ITC,297.35,38.5,0.4,Below,6.5,SKIP,2026-03-25T11:04:27.365198
NESTLEIND,1201.0,40.0,0.2,Below,25.8,SKIP,2026-03-25T11:04:27.365200
BRITANNIA,5625.0,38.4,0.2,Below,137.0,SKIP,2026-03-25T11:04:27.365202
TATACONSUM,1057.2,39.6,0.4,Below,26.9,SKIP,2026-03-25T11:04:27.365203
MARUTI,12737.0,35.3,0.3,Below,421.9,SKIP,2026-03-25T11:04:27.365205
SHRIRAMFIN,955.5,44.4,0.5,Below,51.2,SKIP,2026-03-25T11:04:27.365207
M&M,3141.4,45.7,0.3,Below,122.7,SKIP,2026-03-25T11:04:27.365208
BAJAJ-AUTO,9124.0,45.5,0.3,Below,299.1,SKIP,2026-03-25T11:04:27.365210
HEROMOTOCO,5333.5,47.1,0.3,Below,194.7,SKIP,2026-03-25T11:04:27.365212
BHARTIARTL,1823.4,40.8,0.4,Below,40.7,SKIP,2026-03-25T11:04:27.365213
NTPC,378.0,52.9,0.2,Below,9.6,SKIP,2026-03-25T11:04:27.365215
POWERGRID,300.25,55.9,0.2,Above,8.9,SKIP,2026-03-25T11:04:27.365217
ONGC,270.6,54.1,0.2,Below,7.7,SKIP,2026-03-25T11:04:27.365218
COALINDIA,443.5,49.9,0.2,Below,14.4,SKIP,2026-03-25T11:04:27.365220
TATASTEEL,195.3,49.6,0.3,Below,6.9,SKIP,2026-03-25T11:04:27.365222
HINDALCO,867.75,40.1,0.2,Below,33.0,SKIP,2026-03-25T11:04:27.365223
JSWSTEEL,1158.1,46.0,0.3,Below,41.6,SKIP,2026-03-25T11:04:27.365225
SUNPHARMA,1780.6,54.2,0.3,Below,34.4,SKIP,2026-03-25T11:04:27.365226
DRREDDY,1296.6,53.0,0.3,Above,32.9,SKIP,2026-03-25T11:04:27.365228
CIPLA,1237.7,32.9,0.3,Below,26.3,SKIP,2026-03-25T11:04:27.365230
APOLLOHOSP,7587.5,53.6,0.4,Below,195.8,SKIP,2026-03-25T11:04:27.365231
ADANIENT,1902.5,38.4,0.6,Below,68.7,SKIP,2026-03-25T11:04:27.365233
ADANIPORTS,1388.0,45.7,0.3,Below,47.3,SKIP,2026-03-25T11:04:27.365234
TITAN,4049.2,46.2,0.5,Below,125.7,SKIP,2026-03-25T11:04:27.365236
ULTRACEMCO,11139.0,43.3,0.4,Below,395.6,SKIP,2026-03-25T11:04:27.365238
GRASIM,2632.0,44.0,0.4,Below,79.8,SKIP,2026-03-25T11:04:27.365239
ASIANPAINT,2268.0,47.0,0.4,Above,64.9,SKIP,2026-03-25T11:04:27.365241
DIVISLAB,6080.5,44.2,0.3,Below,152.8,SKIP,2026-03-25T11:04:27.365243
EICHERMOT,7061.5,45.9,0.4,Below,250.6,SKIP,2026-03-25T11:04:27.365244
INDUSINDBK,831.15,42.9,0.4,Below,32.2,SKIP,2026-03-25T11:04:27.365246
RELIANCE,1413.1,51.2,1.0,Above,31.6,SKIP,2026-03-25T20:26:37.627960
HDFCBANK,782.3,33.7,1.1,Below,27.3,SKIP,2026-03-25T20:26:37.627977
ICICIBANK,1259.7,38.8,0.9,Below,33.1,SKIP,2026-03-25T20:26:37.627979
SBIN,1060.6,41.4,1.0,Below,35.0,SKIP,2026-03-25T20:26:37.627981
KOTAKBANK,371.1,37.9,2.1,Below,10.4,SKIP,2026-03-25T20:26:37.627982
AXISBANK,1222.1,41.7,1.3,Below,39.6,SKIP,2026-03-25T20:26:37.627983
BAJFINANCE,882.75,44.4,1.6,Below,33.7,SKIP,2026-03-25T20:26:37.627993
BAJAJFINSV,1746.2,37.2,1.2,Below,50.1,SKIP,2026-03-25T20:26:37.627997
HDFCLIFE,612.9,31.8,0.9,Below,17.0,SKIP,2026-03-25T20:26:37.627998
SBILIFE,1851.8,35.4,1.1,Below,48.0,SKIP,2026-03-25T20:26:37.627999
TCS,2377.4,28.6,1.6,Below,60.1,SKIP,2026-03-25T20:26:37.628000
INFY,1279.1,41.9,0.9,Above,36.0,SKIP,2026-03-25T20:26:37.628001
WIPRO,189.05,31.4,0.8,Below,5.0,SKIP,2026-03-25T20:26:37.628002
HCLTECH,1381.3,46.9,1.3,Above,39.0,SKIP,2026-03-25T20:26:37.628004
TECHM,1408.5,49.6,2.2,Above,40.8,SKIP,2026-03-25T20:26:37.628005
LTIM,4211.5,34.2,1.0,Below,155.1,SKIP,2026-03-25T20:26:37.628006
HINDUNILVR,2134.8,40.1,1.1,Below,51.1,SKIP,2026-03-25T20:26:37.628007
ITC,295.7,36.5,1.1,Below,6.5,SKIP,2026-03-25T20:26:37.628008
NESTLEIND,1204.1,41.0,0.9,Below,26.9,SKIP,2026-03-25T20:26:37.628009
BRITANNIA,5647.0,39.8,0.9,Below,144.7,SKIP,2026-03-25T20:26:37.628010
TATACONSUM,1056.1,39.3,1.1,Below,27.1,SKIP,2026-03-25T20:26:37.628011
MARUTI,12711.0,34.8,0.9,Below,421.9,SKIP,2026-03-25T20:26:37.628012
SHRIRAMFIN,956.0,44.5,1.5,Below,51.8,SKIP,2026-03-25T20:26:37.628014
M&M,3128.1,45.1,0.9,Below,123.7,SKIP,2026-03-25T20:26:37.628015
BAJAJ-AUTO,9048.5,43.8,1.2,Below,300.1,SKIP,2026-03-25T20:26:37.628016
HEROMOTOCO,5289.5,45.7,1.0,Below,194.7,SKIP,2026-03-25T20:26:37.628017
BHARTIARTL,1834.9,43.0,1.2,Below,42.4,SKIP,2026-03-25T20:26:37.628018
NTPC,378.4,53.2,0.7,Below,9.7,SKIP,2026-03-25T20:26:37.628019
POWERGRID,295.0,49.4,0.9,Below,9.1,SKIP,2026-03-25T20:26:37.628020
ONGC,270.2,53.6,0.5,Below,7.8,SKIP,2026-03-25T20:26:37.628022
COALINDIA,443.7,50.0,0.6,Below,14.4,SKIP,2026-03-25T20:26:37.628023
TATASTEEL,196.65,50.6,0.9,Below,7.0,SKIP,2026-03-25T20:26:37.628024
HINDALCO,868.65,40.3,0.7,Below,33.0,SKIP,2026-03-25T20:26:37.628025
JSWSTEEL,1156.0,45.7,0.9,Below,41.6,SKIP,2026-03-25T20:26:37.628026
SUNPHARMA,1795.4,56.9,0.7,Above,36.3,SKIP,2026-03-25T20:26:37.628028
DRREDDY,1300.7,53.7,0.9,Above,33.7,SKIP,2026-03-25T20:26:37.628029
CIPLA,1244.4,35.1,1.0,Below,27.3,SKIP,2026-03-25T20:26:37.628030
APOLLOHOSP,7580.5,53.4,1.0,Below,197.5,SKIP,2026-03-25T20:26:37.628031
ADANIENT,1886.6,36.6,1.3,Below,68.8,SKIP,2026-03-25T20:26:37.628032
ADANIPORTS,1375.9,44.0,0.7,Below,47.3,SKIP,2026-03-25T20:26:37.628034
TITAN,4039.3,45.6,1.5,Below,128.5,SKIP,2026-03-25T20:26:37.628035
ULTRACEMCO,11204.0,44.3,1.2,Below,401.5,SKIP,2026-03-25T20:26:37.628036
GRASIM,2647.8,45.3,1.4,Below,82.0,SKIP,2026-03-25T20:26:37.628037
ASIANPAINT,2270.2,47.3,1.0,Above,66.2,SKIP,2026-03-25T20:26:37.628038
DIVISLAB,6014.5,40.3,0.9,Below,154.8,SKIP,2026-03-25T20:26:37.628039
EICHERMOT,6992.5,44.2,0.8,Below,250.6,SKIP,2026-03-25T20:26:37.628040
INDUSINDBK,818.4,39.8,0.7,Below,32.4,SKIP,2026-03-25T20:26:37.628042
RELIANCE,1413.1,51.2,1.0,Above,31.6,SKIP,2026-03-26T12:35:50.722062
HDFCBANK,782.3,33.7,1.1,Below,27.3,SKIP,2026-03-26T12:35:50.722088
ICICIBANK,1259.7,38.8,0.9,Below,33.1,SKIP,2026-03-26T12:35:50.722091
SBIN,1060.6,41.4,1.0,Below,35.0,SKIP,2026-03-26T12:35:50.722093
KOTAKBANK,371.1,37.9,2.1,Below,10.4,SKIP,2026-03-26T12:35:50.722095
AXISBANK,1222.1,41.7,1.3,Below,39.6,SKIP,2026-03-26T12:35:50.722096
BAJFINANCE,882.75,44.4,1.6,Below,33.7,SKIP,2026-03-26T12:35:50.722098
BAJAJFINSV,1746.2,37.2,1.2,Below,50.1,SKIP,2026-03-26T12:35:50.722100
HDFCLIFE,612.9,31.8,0.9,Below,17.0,SKIP,2026-03-26T12:35:50.722102
SBILIFE,1851.8,35.4,1.1,Below,48.0,SKIP,2026-03-26T12:35:50.722103
TCS,2377.4,28.6,1.6,Below,60.1,SKIP,2026-03-26T12:35:50.722105
INFY,1279.1,41.9,0.9,Above,36.0,SKIP,2026-03-26T12:35:50.722107
WIPRO,189.05,31.4,0.8,Below,5.0,SKIP,2026-03-26T12:35:50.722109
HCLTECH,1381.3,46.9,1.3,Above,39.0,SKIP,2026-03-26T12:35:50.722110
TECHM,1408.5,49.6,2.2,Above,40.8,SKIP,2026-03-26T12:35:50.722112
LTIM,4292.9,38.8,1.8,Below,155.3,SKIP,2026-03-26T12:35:50.722114
HINDUNILVR,2134.8,40.1,1.1,Below,51.1,SKIP,2026-03-26T12:35:50.722116
ITC,295.7,36.5,1.1,Below,6.5,SKIP,2026-03-26T12:35:50.722118
NESTLEIND,1204.1,41.0,0.9,Below,26.9,SKIP,2026-03-26T12:35:50.722119
BRITANNIA,5647.0,39.8,0.9,Below,144.7,SKIP,2026-03-26T12:35:50.722121
TATACONSUM,1056.1,39.3,1.1,Below,27.1,SKIP,2026-03-26T12:35:50.722123
MARUTI,12711.0,34.8,0.9,Below,421.9,SKIP,2026-03-26T12:35:50.722124
SHRIRAMFIN,956.0,44.5,1.5,Below,51.8,SKIP,2026-03-26T12:35:50.722126
M&M,3128.1,45.1,0.9,Below,123.7,SKIP,2026-03-26T12:35:50.722128
BAJAJ-AUTO,9048.5,43.8,1.2,Below,300.1,SKIP,2026-03-26T12:35:50.722130
HEROMOTOCO,5289.5,45.7,1.0,Below,194.7,SKIP,2026-03-26T12:35:50.722131
BHARTIARTL,1834.9,43.0,1.2,Below,42.4,SKIP,2026-03-26T12:35:50.722133
NTPC,378.4,53.2,0.7,Below,9.7,SKIP,2026-03-26T12:35:50.722135
POWERGRID,295.0,49.4,0.9,Below,9.1,SKIP,2026-03-26T12:35:50.722137
ONGC,270.2,53.6,0.5,Below,7.8,SKIP,2026-03-26T12:35:50.722138
COALINDIA,443.7,50.0,0.6,Below,14.4,SKIP,2026-03-26T12:35:50.722140
TATASTEEL,196.65,50.6,0.9,Below,7.0,SKIP,2026-03-26T12:35:50.722142
HINDALCO,868.65,40.3,0.7,Below,33.0,SKIP,2026-03-26T12:35:50.722143
JSWSTEEL,1156.0,45.7,0.9,Below,41.6,SKIP,2026-03-26T12:35:50.722145
SUNPHARMA,1795.4,56.9,0.7,Above,36.3,SKIP,2026-03-26T12:35:50.722147
DRREDDY,1300.7,53.7,0.9,Above,33.7,SKIP,2026-03-26T12:35:50.722148
CIPLA,1244.4,35.1,1.0,Below,27.3,SKIP,2026-03-26T12:35:50.722150
APOLLOHOSP,7580.5,53.4,1.0,Below,197.5,SKIP,2026-03-26T12:35:50.722152
ADANIENT,1886.6,36.6,1.3,Below,68.8,SKIP,2026-03-26T12:35:50.722154
ADANIPORTS,1375.9,44.0,0.7,Below,47.3,SKIP,2026-03-26T12:35:50.722155
